arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
24079,Southbound,S,14067447,2,10,6
24079,Eastbound,W,8243,2,10,6
24079,Westbound,W,8243,2,10,6
24187,Eastbound,E,12387603,2,10,6
24187,Westbound,E,12387603,2,10,6
24187,Northbound,N,907361,2,10,6
24187,Southbound,N,907361,2,10,6
24187,Northbound,S,20232408,2,10,6
24187,Southbound,S,20232408,2,10,6
24187,Eastbound,W,20232381,2,10,6
24187,Westbound,W,20232381,2,10,6
25913,Northbound,N,8407197,2,10,7
25913,Southbound,N,8407197,2,10,7
25913,Eastbound,W,908520,2,10,7
25913,Westbound,W,908520,2,10,7
26224,Eastbound,E,3369758,2,10,6
26224,Westbound,E,3369758,2,10,6
26224,Northbound,N,6973860,2,10,6
26224,Southbound,N,6973860,2,10,6
26224,Northbound,S,9392788,2,10,6
26224,Southbound,S,9392788,2,10,6
26360,Eastbound,E,791,2,10,6
26360,Westbound,E,791,2,10,6
26360,Northbound,N,13991148,2,10,6
26360,Southbound,N,13991148,2,10,6
26360,Northbound,S,804,2,10,6
26360,Southbound,S,804,2,10,6
26360,Eastbound,W,8680749,2,10,6
26360,Westbound,W,8680749,2,10,6
28039,Eastbound,E,441245,2,10,6
28039,Westbound,E,441245,2,10,6
28039,Northbound,N,441195,2,10,6
28039,Southbound,N,441195,2,10,6
28039,Northbound,S,441437,2,10,6
28039,Southbound,S,441437,2,10,6
28039,Eastbound,W,441196,2,10,6
28039,Westbound,W,441196,2,10,6
28280,Eastbound,E,1116,2,10,6
28280,Westbound,E,1116,2,10,6
28280,Northbound,N,1117,2,10,6
28280,Southbound,N,1117,2,10,6
28280,Northbound,S,1191,2,10,6
28280,Southbound,S,1191,2,10,6
28280,Eastbound,W,7523481,2,10,6
28280,Westbound,W,7523481,2,10,6
28953,Eastbound,E,1139388,2,10,6
28953,Westbound,E,1139388,2,10,6
28953,Northbound,N,14015981,2,10,6
28953,Southbound,N,14015981,2,10,6
28953,Northbound,S,10494084,2,10,6
28953,Southbound,S,10494084,2,10,6
28953,Eastbound,W,10516533,2,10,6
28953,Westbound,W,10516533,2,10,6
28968,Eastbound,E,103346,2,10,6
28968,Westbound,E,103346,2,10,6
28968,Southbound,N,103347,2,10,6
28968,Northbound,S,30002425,2,10,6
28968,Southbound,S,30002425,2,10,6
28968,Eastbound,W,30002427,2,10,6
28968,Westbound,W,30002427,2,10,6
29515,Eastbound,E,14662276,2,10,6
29515,Westbound,E,14662276,2,10,6
29515,Northbound,S,30008122,2,10,6
29515,Southbound,S,30008122,2,10,6
29515,Eastbound,W,1147347,2,10,6
29515,Westbound,W,1147347,2,10,6
29525,Eastbound,E,14254066,2,10,6
29525,Southbound,S,30010586,2,10,6
29525,Eastbound,W,14254065,2,10,6
29853,Eastbound,E,9909732,2,10,6
29853,Westbound,E,9909732,2,10,6
29853,Northbound,S,7754192,2,10,6
29853,Southbound,S,7754192,2,10,6
29853,Eastbound,W,1142386,2,10,6
29853,Westbound,W,1142386,2,10,6
30142,Eastbound,E,11034953,2,10,6
30142,Westbound,E,11034953,2,10,6
30142,Northbound,N,1140734,2,10,6
30142,Southbound,N,1140734,2,10,6
30142,Northbound,S,1140858,2,10,6
30142,Southbound,S,1140858,2,10,6
30142,Eastbound,W,30089765,2,10,6
30142,Westbound,W,30089765,2,10,6
31076,Eastbound,E,364,2,10,6
31076,Westbound,E,364,2,10,6
31076,Northbound,N,335,2,10,6
31076,Southbound,N,335,2,10,6
31076,Northbound,S,384,2,10,6
31076,Southbound,S,384,2,10,6
31081,Eastbound,E,30062735,2,10,6
31081,Westbound,E,30062735,2,10,6
31081,Northbound,S,1138891,2,10,6
31081,Southbound,S,1138891,2,10,6
31081,Eastbound,W,1138853,2,10,6
31081,Westbound,W,1138853,2,10,6
31119,Eastbound,E,20232386,2,10,6
31119,Westbound,E,20232386,2,10,6
31119,Northbound,N,907407,2,10,6
31119,Southbound,N,907407,2,10,6
31119,Northbound,S,20232413,2,10,6
31119,Southbound,S,20232413,2,10,6
31119,Eastbound,W,12387603,2,10,6
31119,Westbound,W,12387603,2,10,6
31502,Eastbound,E,6453793,2,10,6
31502,Westbound,E,6453793,2,10,6
31502,Northbound,N,1151,2,10,6
31502,Southbound,N,1151,2,10,6
31502,Northbound,S,1249,2,10,6
31502,Southbound,S,1249,2,10,6
31502,Eastbound,W,1192,2,10,6
