arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
5513,Eastbound,E,437883,10,10
5513,Westbound,E,437881,10,10
5513,Northbound,N,437882,10,10
5513,Southbound,N,437882,10,10
5513,Northbound,S,438089,10,10
5513,Southbound,S,438089,10,10
5559,Northbound,N,913102,10,10
5559,Southbound,N,913102,10,10
5559,Northbound,S,30069697,10,10
5559,Southbound,S,30069697,10,10
5559,Westbound,W,30069694,10,10
5573,Eastbound,E,436101,10,10
5573,Westbound,E,436101,10,10
5573,Northbound,S,436232,10,10
5573,Southbound,S,436109,10,10
5573,Eastbound,W,14304237,10,10
5573,Westbound,W,14304237,10,10
5590,Eastbound,E,3484504,10,10
5590,Westbound,E,3484504,10,10
5590,Northbound,N,3484504,10,10
5590,Southbound,N,3484504,10,10
5590,Northbound,S,110413,10,10
5590,Southbound,S,110413,10,10
5590,Eastbound,W,110384,10,10
5590,Westbound,W,110384,10,10
5605,Northbound,N,112813,10,10
5605,Southbound,N,112813,10,10
5605,Northbound,S,112861,10,10
5605,Southbound,S,112861,10,10
5610,Eastbound,E,9848317,10,10
5610,Westbound,E,9848317,10,10
5610,Northbound,N,8089,10,10
5610,Southbound,N,8089,10,10
5610,Northbound,S,8175,10,10
5610,Southbound,S,8175,10,10
5610,Eastbound,W,8090,10,10
5610,Westbound,W,8090,10,10
5625,Eastbound,E,30076890,10,10
5625,Westbound,E,30076890,10,10
5625,Northbound,N,1146606,10,10
5625,Southbound,N,1146606,10,10
5625,Northbound,S,7617736,10,10
5625,Southbound,S,7617736,10,10
5625,Eastbound,W,7617692,10,10
5625,Westbound,W,7617692,10,10
5655,Eastbound,E,111053,10,10
5655,Westbound,E,111053,10,10
5655,Northbound,N,111054,10,10
5655,Southbound,N,111054,10,10
5655,Northbound,S,111097,10,10
5655,Southbound,S,111097,10,10
5655,Eastbound,W,111123,10,10
5655,Westbound,W,111123,10,10
5688,Northbound,N,14018242,10,10
5688,Southbound,N,14018242,10,10
5688,Eastbound,W,14039234,10,10
5688,Westbound,W,14039234,10,10
5938,Westbound,E,13502871,10,10
5938,Northbound,N,105484,10,10
5938,Southbound,N,105484,10,10
5938,Northbound,S,105605,10,10
5938,Southbound,S,105605,10,10
5938,Westbound,W,105696,10,10
5954,Eastbound,E,8443,10,10
5954,Westbound,E,8443,10,10
5954,Northbound,N,8307,10,10
5954,Southbound,N,8307,10,10
5954,Northbound,S,14067459,10,10
5954,Southbound,S,14067459,10,10
5954,Eastbound,W,8837556,10,10
5954,Westbound,W,8837556,10,10
6014,Eastbound,E,112799,10,10
6014,Westbound,E,112800,10,10
6014,Northbound,S,30054229,10,10
6014,Southbound,S,30054229,10,10
6014,Eastbound,W,4355284,10,10
6014,Westbound,W,4355284,10,10
6204,Eastbound,E,7466844,10,10
6204,Westbound,E,7466844,10,10
6204,Northbound,N,1144630,10,10
6204,Southbound,N,1144630,10,10
6204,Northbound,S,7399038,10,10
6204,Southbound,S,7399038,10,10
6204,Eastbound,W,1144740,10,10
6204,Westbound,W,1144740,10,10
6284,Eastbound,E,111785,10,10
6284,Westbound,E,111785,10,10
6284,Northbound,N,111786,10,10
6284,Southbound,N,111786,10,10
6284,Northbound,S,111813,10,10
6284,Southbound,S,111813,10,10
6284,Eastbound,W,30015906,10,10
6284,Westbound,W,30015906,10,10
6465,Eastbound,E,30076967,10,10
6465,Westbound,E,30076967,10,10
6465,Northbound,N,30076965,10,10
6465,Southbound,N,30076965,10,10
6465,Northbound,S,1141641,10,10
6465,Southbound,S,1141641,10,10
6465,Eastbound,W,8492575,10,10
6465,Westbound,W,8492575,10,10
6667,Eastbound,E,112423,10,10
6667,Westbound,E,112423,10,10
6667,Northbound,N,112424,10,10
6667,Southbound,N,112424,10,10
6667,Northbound,S,4503983,10,10
6667,Southbound,S,4503983,10,10
6667,Eastbound,W,20146725,10,10
6667,Westbound,W,20146725,10,10
7281,Northbound,N,3324102,10,10
7281,Southbound,N,7641410,10,10
7281,Northbound,S,7641278,10,10
7281,Southbound,S,7641278,10,10
7281,Eastbound,W,14615205,10,10
7281,Westbound,W,14615205,10,10
9793,Eastbound,E,7130472,10,10
9793,Westbound,E,7130472,10,10
9793,Northbound,N,7130464,10,10
