"group_number","group_number","same_volume"
9714,9672,t
9730,9857,t
9733,11499,t
9734,8275,t
9741,11661,t
9742,6084,t
9742,30317,t
9745,19489,t
9751,9780,t
9759,25296,t
9765,9796,t
9768,9061,t
9768,9090,t
9796,9765,t
13735,4252,t
9780,9751,t
9785,5630,t
9786,9341,t
9794,330,t
10112,10076,t
9811,14129,t
9815,27600,t
9819,9702,t
9824,11019,t
9826,13730,t
9828,21902,t
9828,30617,t
9829,25694,t
9831,9897,t
9840,9798,t
9841,27039,t
14140,14124,t
9847,778,t
9853,7866,t
9857,9730,t
9859,12271,t
9871,23706,t
9872,20531,t
9875,9883,t
9875,15104,t
9877,25541,t
9883,9875,t
9884,7336,t
9887,16432,t
9889,19886,t
9897,7854,t
9897,9831,t
9899,28864,t
9904,10044,t
9932,14636,t
10114,24215,t
10114,30439,t
9935,4495,t
9942,9965,t
9942,27499,t
9947,27954,t
9948,29570,t
9953,9906,t
9968,30348,t
10088,20160,t
9960,9962,t
9960,10016,t
9962,9960,t
10025,9999,t
9965,9942,t
9966,6330,t
9966,9407,t
9978,3018,t
9986,15398,t
9986,28554,t
9993,4584,t
9999,10025,t
10001,10026,t
10012,5327,t
10013,21717,t
10013,24042,t
10016,9960,t
10026,10001,t
10026,10069,t
10036,8926,t
10039,2171,t
10039,14788,t
10044,9904,t
10049,10303,t
10049,18871,t
10057,8931,t
10058,10296,t
10069,10026,t
10307,4893,t
10097,7371,t
10076,10112,t
10079,344,t
10079,14921,t
24948,26311,t
10094,8719,t
10102,7625,t
10110,10248,t
10117,7791,t
10145,19375,t
10137,8525,t
10385,8781,t
10169,9027,t
10169,11940,t
10164,26936,t
11499,7778,t
11499,9733,t
10179,23681,t
10179,26743,t
10200,29173,t
10200,29592,t
10217,20423,t
10219,10261,t
10220,26567,t
10224,8941,t
10233,19653,t
10243,7652,t
10245,4826,t
10246,13243,t
10246,29319,t
10248,10110,t
10249,23737,t
10249,24100,t
10259,25241,t
10261,10219,t
10266,28192,t
10268,14492,t
10269,27933,t
10270,26464,t
10275,30172,t
10320,10353,t
10289,10370,t
10296,10058,t
10296,25964,t
10303,10049,t
10345,10368,t
10446,5021,t
10318,3235,t
10318,3279,t
10326,10384,t
10491,23215,t
10328,27834,t
10330,19108,t
10353,4129,t
10353,10320,t
10557,24534,t
10340,10284,t
10368,10345,t
10368,17540,t
10369,13932,t
10370,10289,t
10378,27212,t
10383,8310,t
10384,10326,t
10367,10449,t
10355,7466,t
10355,12729,t
10404,6024,t
10410,20622,t
10410,29148,t
10422,4886,t
10422,10457,t
10435,27626,t
10462,10523,t
10449,7640,t
10449,10367,t
10452,63,t
10453,10501,t
10457,10422,t
10457,18874,t
10479,20113,t
10483,19684,t
10483,20405,t
10499,23925,t
10501,8558,t
10501,10453,t
10506,10464,t
10538,20730,t
