arterycode,location,count_type,centreline_id,direction,sideofint,comment
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,361,Eastbound,W,TMC
31339,SELWYN AVE AT WESTVIEW BLVE,24 HOUR,361,Westbound,W,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,6674329,Northbound,N,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,6674329,Southbound,N,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,111686,Northbound,S,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,111686,Southbound,S,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,111680,Eastbound,W,TMC
32383,FOXRIDGE AT KENNEDY RD,24 HOUR,111680,Westbound,W,TMC
35749,DRIFTWOOD AVE AT YORKWOODS GATE,24 HOUR,441235,Northbound,N,TMC
35749,DRIFTWOOD AVE AT YORKWOODS GATE,24 HOUR,441235,Southbound,N,TMC
35749,DRIFTWOOD AVE AT YORKWOODS GATE,24 HOUR,10258433,Northbound,S,TMC
35749,DRIFTWOOD AVE AT YORKWOODS GATE,24 HOUR,10258433,Southbound,S,TMC
