arterycode,centreline_id,direction,sideofint,match_on_case,artery_type
373,8100100,Eastbound,W,1,1
374,912884,Westbound,E,1,1
375,30089844,Eastbound,W,2,1
376,8087268,Westbound,E,1,1
377,7257489,Eastbound,W,2,1
378,14113401,Westbound,E,1,1
379,30012612,Eastbound,W,2,1
380,14204002,Westbound,E,1,1
381,1143106,Eastbound,W,1,1
382,8006574,Westbound,E,1,1
383,6148565,Eastbound,W,1,1
384,6148490,Westbound,E,1,1
385,912884,Eastbound,W,1,1
386,8087218,Westbound,E,1,1
387,913167,Eastbound,W,1,1
388,9356,Eastbound,W,1,1
389,1142355,Eastbound,W,1,1
390,10598761,Westbound,E,1,1
391,5788493,Eastbound,W,1,1
392,5788494,Westbound,E,1,1
393,1143977,Eastbound,W,1,1
394,5825939,Westbound,E,1,1
395,3969874,Eastbound,W,1,1
396,1142937,Eastbound,W,1,1
397,30034345,Southbound,S,12,1
398,1142937,Westbound,E,1,1
399,7650534,Eastbound,W,1,1
400,8456471,Westbound,E,1,1
401,14024400,Eastbound,W,1,1
402,8824008,Westbound,E,1,1
403,1144076,Eastbound,W,1,1
404,1144022,Westbound,E,1,1
405,30034345,Northbound,S,12,1
406,2893461,Westbound,E,1,1
407,7650703,Eastbound,W,1,1
408,14023777,Westbound,E,1,1
409,444110,Eastbound,W,1,1
410,11517161,Westbound,E,1,1
411,14676845,Eastbound,E,1,1
412,14676845,Westbound,E,1,1
413,107745,Eastbound,W,1,1
414,6793422,Eastbound,W,1,1
416,108899,Eastbound,W,1,1
417,6535415,Westbound,E,1,1
418,108027,Eastbound,W,1,1
419,107979,Westbound,E,1,1
420,6786837,Eastbound,W,1,1
421,108126,Westbound,E,1,1
422,3386795,Eastbound,W,1,1
423,106226,Westbound,E,1,1
424,9234028,Westbound,E,1,1
425,12789544,Eastbound,W,1,1
426,107198,Westbound,E,1,1
427,30013725,Eastbound,W,2,1
428,108622,Westbound,E,1,1
430,105540,Eastbound,W,1,1
431,105540,Westbound,W,1,1
432,107490,Eastbound,W,1,1
433,12789544,Westbound,E,1,1
434,107941,Eastbound,W,1,1
435,6793439,Westbound,E,1,1
436,108429,Eastbound,W,1,1
437,108388,Westbound,E,1,1
438,30075901,Westbound,E,1,1
439,30038063,Westbound,E,2,1
440,106555,Eastbound,W,1,1
441,106501,Westbound,E,1,1
442,20052389,Eastbound,W,2,1
443,105961,Westbound,E,1,1
444,6362827,Eastbound,W,1,1
445,9171557,Westbound,E,1,1
446,107198,Eastbound,W,1,1
447,109310,Westbound,E,1,1
448,30020514,Eastbound,W,2,1
449,109415,Westbound,E,1,1
450,9779412,Eastbound,W,1,1
451,6516122,Eastbound,W,1,1
452,109100,Westbound,E,1,1
453,6516122,Westbound,W,1,1
454,2967295,Northbound,S,1,1
455,2967295,Southbound,N,12,1
456,439183,Westbound,E,1,1
457,441594,Eastbound,W,1,1
458,10364257,Eastbound,W,1,1
459,3671425,Eastbound,W,1,1
460,438481,Eastbound,W,1,1
461,11129605,Westbound,E,1,1
462,9171301,Eastbound,W,3,1
463,11272534,Eastbound,W,3,1
464,9171301,Westbound,E,3,1
465,11574881,Eastbound,W,1,1
466,10071501,Westbound,E,1,1
467,439183,Eastbound,W,1,1
468,439056,Westbound,E,1,1
469,10364049,Westbound,E,1,1
470,440630,Eastbound,W,1,1
471,10313423,Eastbound,W,1,1
472,6123047,Eastbound,W,1,1
473,907223,Westbound,E,1,1
474,907171,Eastbound,W,1,1
475,907167,Westbound,E,1,1
476,907227,Eastbound,W,1,1
477,907189,Westbound,E,1,1
478,440889,Eastbound,W,1,1
479,440829,Westbound,E,1,1
480,441010,Eastbound,W,1,1
481,440964,Westbound,E,1,1
482,907211,Eastbound,W,1,1
483,30001213,Westbound,E,2,1
485,907234,Westbound,E,1,1
486,14659568,Eastbound,W,1,1
487,30000721,Westbound,E,2,1
488,440579,Eastbound,W,1,1
489,10071102,Westbound,E,1,1
490,907143,Eastbound,W,1,1
491,439769,Eastbound,W,1,1
492,4368195,Westbound,E,1,1
493,906898,Eastbound,W,2,1
494,906816,Westbound,E,1,1
496,907123,Eastbound,W,1,1
497,907088,Westbound,E,1,1
498,10340969,Westbound,E,1,1
499,3671662,Westbound,E,1,1
500,3671663,Eastbound,W,1,1
501,12697747,Westbound,E,1,1
502,4368192,Eastbound,W,3,1
503,11272534,Westbound,E,3,1
504,10071730,Eastbound,W,1,1
505,439769,Westbound,E,1,1
506,10364049,Eastbound,W,1,1
507,11129072,Eastbound,W,1,1
508,9065918,Westbound,E,1,1
509,30016929,Eastbound,W,3,1
510,10071730,Westbound,E,1,1
511,441054,Westbound,E,1,1
512,907123,Westbound,E,1,1
513,9038792,Eastbound,W,1,1
514,14234749,Westbound,E,1,1
515,4368195,Eastbound,W,1,1
516,4368192,Westbound,E,1,1
517,30007045,Westbound,E,1,1
518,10071501,Eastbound,W,1,1
519,14660984,Westbound,E,1,1
520,14660984,Eastbound,W,1,1
521,20092034,Westbound,E,2,1
522,907189,Eastbound,W,1,1
523,907173,Westbound,E,1,1
524,30057972,Eastbound,W,2,1
525,441204,Westbound,E,1,1
526,30020256,Eastbound,W,2,1
527,438861,Westbound,E,2,1
528,9011793,Eastbound,W,1,1
529,440579,Westbound,E,1,1
530,3440739,Eastbound,W,1,1
531,3440791,Westbound,E,1,1
534,13971078,Eastbound,W,1,1
535,13503773,Westbound,E,1,1
536,,Southbound,N,11,1
537,6051905,Northbound,S,1,1
538,10982107,Southbound,N,1,1
539,9780144,Northbound,S,1,1
540,30001128,Southbound,N,2,1
541,907960,Northbound,S,3,1
542,907894,Southbound,N,1,1
543,7807961,Northbound,S,1,1
544,7807934,Southbound,N,1,1
545,20004205,Northbound,S,1,1
546,30074611,Southbound,N,1,1
547,20044321,Northbound,S,2,1
548,911644,Southbound,N,1,1
549,908664,Northbound,S,1,1
550,908544,Southbound,N,1,1
551,8492744,Northbound,S,1,1
552,8406969,Northbound,S,1,1
553,20045367,Southbound,N,2,1
554,30023253,Northbound,S,2,1
555,909444,Southbound,N,1,1
556,907673,Northbound,S,1,1
557,8237450,Southbound,N,1,1
558,913885,Northbound,S,1,1
559,913638,Southbound,N,1,1
560,30001128,Northbound,S,2,1
561,30000713,Southbound,N,2,1
562,12580404,Northbound,S,1,1
563,30001161,Southbound,N,2,1
564,908067,Northbound,S,1,1
565,908051,Southbound,N,1,1
566,20149476,Northbound,S,1,1
567,908115,Southbound,N,1,1
568,913948,Northbound,S,1,1
569,913885,Southbound,N,1,1
570,7791786,Northbound,S,1,1
571,7793107,Southbound,N,1,1
573,20004204,Southbound,N,1,1
574,8492696,Northbound,S,1,1
575,8492744,Southbound,N,1,1
576,10948196,Northbound,S,1,1
577,908226,Northbound,S,1,1
578,908207,Southbound,N,1,1
579,8492438,Southbound,N,1,1
580,914224,Northbound,S,1,1
581,914184,Southbound,N,1,1
582,7792009,Northbound,S,1,1
583,7806932,Southbound,N,1,1
584,8417076,Northbound,S,1,1
585,30023253,Southbound,N,2,1
586,910401,Northbound,S,1,1
587,910357,Southbound,N,1,1
588,9962784,Northbound,N,1,1
589,8492619,Southbound,N,1,1
590,8407394,Northbound,S,1,1
591,8407393,Southbound,N,1,1
592,,Northbound,N,11,1
593,439797,Northbound,S,1,1
595,439797,Southbound,S,1,1
596,909362,Northbound,S,1,1
597,909290,Southbound,N,1,1
598,910118,Northbound,S,1,1
599,910023,Southbound,N,1,1
600,20141932,Northbound,S,2,1
601,20048746,Southbound,N,2,1
602,20141932,Southbound,S,2,1
603,909197,Northbound,S,1,1
604,909010,Southbound,N,1,1
605,2880144,Northbound,S,1,1
606,2884350,Southbound,N,1,1
607,8536083,Northbound,S,1,1
609,1143470,Northbound,S,1,1
610,20058417,Southbound,N,2,1
611,8536083,Southbound,N,1,1
612,30074729,Northbound,S,2,1
613,2597802,Southbound,N,1,1
614,1145716,Northbound,S,1,1
615,8344825,Southbound,N,1,1
616,2597802,Northbound,S,1,1
617,30055872,Southbound,N,2,1
618,1142453,Northbound,S,1,1
619,7753909,Southbound,N,1,1
620,8344825,Northbound,S,1,1
621,1145317,Southbound,N,1,1
622,8351261,Southbound,N,1,1
623,10010771,Northbound,S,1,1
624,14024689,Southbound,N,1,1
625,2884353,Northbound,S,1,1
626,10010771,Southbound,N,1,1
627,14024689,Northbound,S,1,1
628,30074729,Southbound,N,2,1
629,1145790,Northbound,S,1,1
630,1145716,Southbound,N,1,1
631,6522648,Northbound,S,1,1
632,1142724,Southbound,N,1,1
633,7929692,Southbound,N,1,1
634,20110552,Northbound,S,2,1
635,14025385,Southbound,N,1,1
636,20139610,Northbound,S,2,1
637,8041181,Southbound,N,1,1
638,30073468,Northbound,S,2,1
639,14014792,Southbound,N,1,1
640,9066185,Northbound,S,1,1
641,7838,Southbound,N,1,1
642,20043182,Southbound,N,2,1
643,9278916,Northbound,S,1,1
644,440430,Southbound,N,1,1
645,20040960,Southbound,N,2,1
646,14064697,Northbound,S,1,1
647,14226160,Northbound,S,1,1
648,14226161,Southbound,N,1,1
649,446499,Northbound,S,1,1
650,30078906,Northbound,S,2,1
651,11585479,Southbound,N,1,1
652,8128677,Northbound,S,1,1
653,14662403,Southbound,N,1,1
654,14014794,Northbound,S,1,1
655,14014090,Southbound,N,1,1
656,30073761,Northbound,S,2,1
658,9311859,Northbound,S,1,1
659,11714744,Southbound,N,1,1
660,446499,Southbound,N,1,1
661,14064493,Northbound,S,1,1
662,9086573,Southbound,N,1,1
663,9278799,Northbound,S,1,1
664,30073937,Southbound,N,2,1
665,9085067,Southbound,N,1,1
666,9085067,Northbound,S,1,1
667,9085418,Northbound,S,1,1
668,9085387,Southbound,N,1,1
669,20041008,Northbound,S,2,1
670,446380,Northbound,S,3,1
671,446207,Southbound,N,1,1
672,9517407,Southbound,N,1,1
673,30020840,Northbound,S,2,1
674,439282,Southbound,N,1,1
675,439282,Northbound,S,2,1
676,439282,Southbound,N,2,1
677,8231921,Southbound,N,1,1
678,9517407,Northbound,S,1,1
679,9517554,Southbound,N,1,1
680,10133019,Northbound,S,1,1
681,9278804,Southbound,N,1,1
682,9086171,Northbound,S,1,1
683,30004270,Southbound,N,2,1
684,30073937,Northbound,S,2,1
685,9278908,Southbound,N,1,1
686,,Northbound,N,11,1
687,14660922,Northbound,S,1,1
688,,Southbound,N,11,1
689,14660922,Southbound,N,1,1
690,10142909,Northbound,S,1,1
691,10154475,Southbound,N,1,1
692,9311871,Northbound,S,1,1
693,9311859,Southbound,N,1,1
694,30078912,Northbound,S,2,1
695,442969,Southbound,N,1,1
696,20101797,Northbound,S,2,1
697,10133796,Southbound,N,1,1
698,14064697,Southbound,N,1,1
699,9668534,Northbound,S,1,1
700,9637988,Southbound,N,1,1
702,107413,Eastbound,W,1,1
703,2216238,Westbound,E,1,1
704,113039,Eastbound,W,1,1
705,2215096,Eastbound,W,1,1
706,30001838,Eastbound,W,2,1
707,11653468,Westbound,E,1,1
708,105710,Eastbound,W,1,1
710,112059,Westbound,E,1,1
711,2893930,Eastbound,W,1,1
712,2286552,Eastbound,W,1,1
713,113230,Westbound,E,1,1
714,109926,Westbound,E,1,1
718,113230,Eastbound,W,1,1
719,113220,Westbound,E,1,1
720,8947514,Eastbound,W,1,1
721,12786481,Westbound,E,1,1
722,4355284,Eastbound,W,1,1
723,110070,Eastbound,W,1,1
724,2216248,Eastbound,W,1,1
725,30001948,Westbound,E,2,1
727,13503042,Eastbound,W,1,1
728,108297,Eastbound,W,1,1
729,20112786,Westbound,E,2,1
730,107520,Eastbound,W,1,1
731,14194366,Westbound,E,1,1
732,30001937,Eastbound,W,2,1
733,106839,Westbound,E,1,1
734,8087359,Eastbound,W,1,1
735,107942,Westbound,E,1,1
736,20052389,Eastbound,W,2,1
737,105961,Westbound,E,1,1
738,5444633,Eastbound,W,1,1
739,9135396,Westbound,E,1,1
740,20105764,Eastbound,W,2,1
741,108468,Westbound,E,1,1
742,4417422,Eastbound,W,1,1
743,30076788,Eastbound,W,2,1
744,105153,Eastbound,W,1,1
745,3484506,Northbound,E,1,1
746,8929148,Southbound,N,1,1
747,4515411,Westbound,E,1,1
748,113240,Eastbound,E,1,1
749,113240,Westbound,E,1,1
750,113111,Eastbound,W,1,1
751,113124,Eastbound,W,1,1
752,113111,Westbound,E,1,1
753,906991,Northbound,S,1,1
754,906945,Southbound,N,1,1
755,14659604,Southbound,N,1,1
756,30088393,Northbound,S,2,1
757,8206209,Southbound,N,1,1
758,6023599,Southbound,N,1,1
759,908116,Northbound,S,1,1
760,908092,Southbound,N,1,1
761,914446,Southbound,N,1,1
762,20101489,Northbound,S,1,1
763,8730995,Northbound,S,1,1
764,20101489,Southbound,S,1,1
765,911289,Northbound,S,1,1
766,911152,Southbound,N,1,1
767,909379,Southbound,N,1,1
768,908778,Northbound,S,1,1
769,6027119,Southbound,N,1,1
770,30006898,Northbound,S,2,1
771,30058630,Southbound,N,2,1
772,913880,Northbound,S,1,1
773,913772,Southbound,N,1,1
774,906849,Northbound,S,1,1
775,906817,Southbound,N,1,1
776,908318,Northbound,S,1,1
777,914231,Northbound,S,1,1
778,8246672,Southbound,N,1,1
779,908274,Northbound,S,1,1
780,907146,Northbound,S,1,1
781,907131,Southbound,N,1,1
782,8206226,Northbound,S,1,1
783,30083354,Southbound,N,2,1
784,908654,Northbound,S,1,1
785,908564,Southbound,N,1,1
786,20048292,Northbound,S,2,1
787,20048292,Southbound,N,2,1
788,3497654,Southbound,N,1,1
789,914446,Northbound,S,1,1
790,914320,Southbound,N,1,1
791,30069646,Northbound,S,2,1
792,9722625,Southbound,N,1,1
793,913296,Northbound,S,1,1
794,913257,Southbound,N,1,1
795,912596,Northbound,S,1,1
796,912504,Southbound,N,1,1
797,8206167,Northbound,S,3,1
798,910073,Northbound,S,1,1
799,909927,Southbound,N,1,1
800,8408372,Northbound,S,1,1
801,8802578,Southbound,N,1,1
802,908092,Northbound,S,1,1
803,9655693,Southbound,N,1,1
804,908274,Southbound,N,1,1
805,30088447,Northbound,S,2,1
806,906424,Northbound,N,1,1
807,3497808,Northbound,S,1,1
810,9655769,Northbound,S,1,1
