arterycode,count_type,loc,type,road,road_rank,tot_days
31806,PermAutom,RAMP REXDALE BLVD W/B TO HIGHWAY 27 N/B,Other,,6,332
31807,PermAutom,REXDALE BLVD E/B E OF HIGHWAY 27,Other,,6,348
31808,PermAutom,RAMP HIGHWAY 27 N/B TO REXDALE BLVD E/B,Other,,6,344
31809,PermAutom,REXDALE BLVD W/B W OF HIGHWAY 27,Other,,6,341
31810,PermAutom,RAMP HIGHWAY 27 S/B TO REXDALE BLVD W/B,Other,,6,160
37163,PermAutom,DON VALLEY PKWY N/B N OF RIVERDALE PARK TRL,RESCU,DVP,2,515
37164,PermAutom,DON VALLEY PKWY S/B N OF RIVERDALE PARK TRL,RESCU,DVP,2,517
37165,PermAutom,DON VALLEY PKY N/B S OF SPANBRIDGE RD,RESCU,DVP,2,446
37166,PermAutom,DON VALLEY PKWY S/B S OF SPANBRIDGE RD,RESCU,DVP,2,449
37167,PermAutom,DON VALLEY PKWY N/B N OF LEASIDE BRIDGE,RESCU,DVP,2,501
37168,PermAutom,DON VALLEY PKWY N/B AT POTTERY RD,RESCU,DVP,2,538
37170,PermAutom,DON VALLEY PKWY N/B N OF PRINCE EDWARD VIADUCT,RESCU,DVP,2,488
37171,PermAutom,DON VALLEY PKWY S/B N OF PRINCE EDWARD VIADUCT,RESCU,DVP,2,487
37173,PermAutom,DON VALLEY PKWY N/B S OF RAMP ROYAL DR,RESCU,DVP,2,481
37175,PermAutom,DON VALLEY PKWY S/B S OF RAMP ROYAL DR,RESCU,DVP,2,482
37306,PermAutom,DON VALLEY PKWY S/B N OF SPANBRIDGE RD,RESCU,DVP,2,444
37506,PermAutom,F G GARDINER EXPY W/B E OF PARKSIDE DR,RESCU,Gardiner,1,422
37507,PermAutom,F G GARDINER EXPY E/B W OF RONCESVALLES AVE,RESCU,Gardiner,1,419
37508,PermAutom,F G GARDINER EXPY W/B E OF WINDERMERE AVE,RESCU,Gardiner,1,421
37509,PermAutom,F G GARDINER EXPY E/B E OF WINDERMERE AVE,RESCU,Gardiner,1,418
37511,PermAutom,F G GARDINER EXPY W/B E OF THE EAST MALL,RESCU,Gardiner,1,409
37514,PermAutom,F G GARDINER EXPY E/B E OF THE EAST MALL,RESCU,Gardiner,1,409
37980,PermAutom,W R ALLEN RD N/B S OF TRANSIT RD,RESCU,Allen,3,124
37981,PermAutom,W R ALLEN RD S/B S OF TRANSIT RD,RESCU,Allen,3,124
